site,date,pm10,pm25
Geelong South,2019-09-05,14.42,7.32
Geelong South,2019-09-06,8.78,5.86
Geelong South,2019-09-07,8.86,5.94
Geelong South,2019-09-08,8.57,3.55
Geelong South,2019-09-09,15.49,6.75
Geelong South,2019-09-10,14.33,4.56
Geelong South,2019-09-11,11.65,5.8
Geelong South,2019-09-12,23.39,6.37
Geelong South,2019-09-13,21.71,5.6
Geelong South,2019-09-14,23.52,9.78
Geelong South,2019-09-15,7.97,3.53
Geelong South,2019-09-16,15.56,9.85
Geelong South,2019-09-17,15.61,5.08
Geelong South,2019-09-18,20.41,6.78
Geelong South,2019-09-19,15.4,4.37
Geelong South,2019-09-20,22.76,6.87
Geelong South,2019-09-21,17.0,7.23
Geelong South,2019-09-22,5.03,2.63
Geelong South,2019-09-23,6.45,2.3
Geelong South,2019-09-24,9.28,1.55
Geelong South,2019-09-25,12.35,3.04
Geelong South,2019-09-26,15.19,4.88
Geelong South,2019-09-27,13.01,6.43
Geelong South,2019-09-28,13.42,6.13
Geelong South,2019-09-29,11.71,6.15
Geelong South,2019-09-30,15.56,4.39
Geelong South,2019-10-01,22.76,5.76
Geelong South,2019-10-02,30.51,7.43
Geelong South,2019-10-03,28.55,8.5
Geelong South,2019-10-04,7.48,2.6
Geelong South,2019-10-05,12.65,5.25
Geelong South,2019-10-06,14.6,6.68
Geelong South,2019-10-07,9.36,5.38
Geelong South,2019-10-08,7.26,4.78
Geelong South,2019-10-09,5.36,1.91
Geelong South,2019-10-15,11.16,4.9
Geelong South,2019-10-16,9.09,2.77
Geelong South,2019-10-17,11.25,4.91
Geelong South,2019-10-18,25.61,5.51
Geelong South,2019-10-19,12.27,5.91
Geelong South,2019-10-20,14.05,5.75
Geelong South,2019-10-21,14.76,3.6
Geelong South,2019-10-22,18.07,6.18
Geelong South,2019-10-23,36.42,8.74
Geelong South,2019-10-24,44.65,11.24
Geelong South,2019-10-25,63.78,9.48
Geelong South,2019-10-26,10.13,4.55
Geelong South,2019-10-27,11.98,4.45
Geelong South,2019-10-28,12.23,4.17
Geelong South,2019-10-29,26.94,5.18
Geelong South,2019-10-30,22.13,7.76
Geelong South,2019-10-31,41.63,9.39
Geelong South,2019-11-01,72.07,15.97
Geelong South,2019-11-02,9.17,3.13
Geelong South,2019-11-03,12.91,6.73
Geelong South,2019-11-04,10.35,4.01
Geelong South,2019-11-05,10.79,3.27
Geelong South,2019-11-06,21.9,4.83
Geelong South,2019-11-07,9.72,4.07
Geelong South,2019-11-08,9.86,5.95
Geelong South,2019-11-09,9.54,2.3
Geelong South,2019-11-10,6.98,1.82
Geelong South,2019-11-11,22.14,3.69
Geelong South,2019-11-12,21.33,8.44
Geelong South,2019-11-13,14.04,5.18
Geelong South,2019-11-14,8.73,2.1
Geelong South,2019-11-15,12.51,6.76
Geelong South,2019-11-16,17.2,6.5
Geelong South,2019-11-17,16.15,4.7
Geelong South,2019-11-18,18.15,2.76
Geelong South,2019-11-19,16.7,4.41
Geelong South,2019-11-20,20.6,3.3
Geelong South,2019-11-21,102.3,12.94
Geelong South,2019-11-22,9.22,5.87
Geelong South,2019-11-23,12.66,7.53
Geelong South,2019-11-24,14.57,7.88
Geelong South,2019-11-25,25.42,6.46
Geelong South,2019-11-26,10.49,6.26
