week_index,week_label,week_start_2019_20,diagnosis,2017-18,2017-18(x),2018-19,2019-20,asr_change_vs_2018_19,pct_change_vs_2018_19
8,20-26 October,2019-10-20,Abnormalities of breathing,8.12,,7.75,8.42,0.67,8.6
8,20-26 October,2019-10-20,Acute myocardial infarction,1.99,,2.37,2.5,0.13,5.5
8,20-26 October,2019-10-20,Asthma,7.58,,6.33,5.36,-0.97,-15.3
8,20-26 October,2019-10-20,COPD with acute exacerbation,0.84,,1.9,1.78,-0.12,-6.3
8,20-26 October,2019-10-20,Cardiovascular diseases,16.03,,15.19,14.37,-0.82,-5.4
8,20-26 October,2019-10-20,Cerebrovascular diseases,,1.4,3.19,2.81,-0.38,-11.9
8,20-26 October,2019-10-20,Chest pain,25.82,,26.85,26.85,0.0,0.0
8,20-26 October,2019-10-20,Dehydration,1.35,,1.14,1.58,0.44,38.6
8,20-26 October,2019-10-20,Diseases of the respiratory system,48.33,,48.26,49.33,1.07,2.2
8,20-26 October,2019-10-20,Mental and behavioural disorders,23.96,,26.85,24.79,-2.06,-7.7
9,27 October-2 November,2019-10-27,Abnormalities of breathing,8.62,,7.92,8.26,0.34,4.3
9,27 October-2 November,2019-10-27,Acute myocardial infarction,1.83,,2.2,2.37,0.17,7.7
9,27 October-2 November,2019-10-27,Asthma,7.66,,6.26,6.6,0.34,5.4
9,27 October-2 November,2019-10-27,COPD with acute exacerbation,1.06,,1.71,1.84,0.13,7.6
9,27 October-2 November,2019-10-27,Cardiovascular diseases,16.31,,14.55,14.11,-0.44,-3.0
9,27 October-2 November,2019-10-27,Cerebrovascular diseases,,1.39,2.82,3.0,0.18,6.4
9,27 October-2 November,2019-10-27,Chest pain,25.66,,26.03,27.39,1.36,5.2
9,27 October-2 November,2019-10-27,Dehydration,1.41,,1.58,1.16,-0.42,-26.6
9,27 October-2 November,2019-10-27,Diseases of the respiratory system,49.68,,48.57,50.52,1.95,4.0
9,27 October-2 November,2019-10-27,Mental and behavioural disorders,24.26,,27.25,25.52,-1.73,-6.3
10,3-9 November,2019-11-03,Abnormalities of breathing,7.08,,8.03,8.15,0.12,1.5
10,3-9 November,2019-11-03,Acute myocardial infarction,1.84,,2.41,2.11,-0.3,-12.4
10,3-9 November,2019-11-03,Asthma,7.43,,7.1,7.1,0.0,0.0
10,3-9 November,2019-11-03,COPD with acute exacerbation,0.88,,1.79,1.97,0.18,10.1
10,3-9 November,2019-11-03,Cardiovascular diseases,16.09,,14.31,14.01,-0.3,-2.1
10,3-9 November,2019-11-03,Cerebrovascular diseases,,1.45,2.74,2.95,0.21,7.7
10,3-9 November,2019-11-03,Chest pain,26.09,,28.75,26.66,-2.09,-7.3
10,3-9 November,2019-11-03,Dehydration,1.44,,1.98,1.34,-0.64,-32.3
10,3-9 November,2019-11-03,Diseases of the respiratory system,47.43,,50.04,49.84,-0.2,-0.4
10,3-9 November,2019-11-03,Mental and behavioural disorders,23.83,,27.9,27.51,-0.39,-1.4
11,10-16 November,2019-11-10,Abnormalities of breathing,7.99,,7.82,8.46,0.64,8.2
11,10-16 November,2019-11-10,Acute myocardial infarction,1.84,,2.27,2.34,0.07,3.1
11,10-16 November,2019-11-10,Asthma,6.77,,6.13,7.88,1.75,28.5
11,10-16 November,2019-11-10,COPD with acute exacerbation,1.11,,1.61,1.95,0.34,21.1
11,10-16 November,2019-11-10,Cardiovascular diseases,16.58,,14.62,13.09,-1.53,-10.5
11,10-16 November,2019-11-10,Cerebrovascular diseases,,1.57,3.02,2.99,-0.03,-1.0
11,10-16 November,2019-11-10,Chest pain,26.18,,28.05,26.01,-2.04,-7.3
11,10-16 November,2019-11-10,Dehydration,1.6,,1.48,1.41,-0.07,-4.7
11,10-16 November,2019-11-10,Diseases of the respiratory system,48.45,,45.82,50.91,5.09,11.1
11,10-16 November,2019-11-10,Mental and behavioural disorders,24.1,,26.21,23.9,-2.31,-8.8
12,17-23 November,2019-11-17,Abnormalities of breathing,6.87,,7.92,8.71,0.79,10.0
12,17-23 November,2019-11-17,Acute myocardial infarction,2.05,,2.39,2.18,-0.21,-8.8
12,17-23 November,2019-11-17,Asthma,5.74,,6.58,8.63,2.05,31.2
12,17-23 November,2019-11-17,COPD with acute exacerbation,0.88,,1.58,2.23,0.65,41.1
12,17-23 November,2019-11-17,Cardiovascular diseases,16.06,,14.51,13.38,-1.13,-7.8
12,17-23 November,2019-11-17,Cerebrovascular diseases,,1.37,2.95,2.73,-0.22,-7.5
12,17-23 November,2019-11-17,Chest pain,27.27,,28.05,26.9,-1.15,-4.1
12,17-23 November,2019-11-17,Dehydration,1.09,,1.44,1.9,0.46,31.9
12,17-23 November,2019-11-17,Diseases of the respiratory system,45.12,,46.02,49.73,3.71,8.1
12,17-23 November,2019-11-17,Mental and behavioural disorders,25.34,,25.64,24.76,-0.88,-3.4
13,24-30 November,2019-11-24,Abnormalities of breathing,7.04,,7.66,8.91,1.25,16.3
13,24-30 November,2019-11-24,Acute myocardial infarction,2.29,,2.45,2.34,-0.11,-4.5
13,24-30 November,2019-11-24,Asthma,5.71,,6.26,6.34,0.08,1.3
13,24-30 November,2019-11-24,COPD with acute exacerbation,1.1,,1.51,1.73,0.22,14.6
13,24-30 November,2019-11-24,Cardiovascular diseases,16.91,,15.22,13.72,-1.5,-9.9
13,24-30 November,2019-11-24,Cerebrovascular diseases,,1.44,2.9,2.79,-0.11,-3.8
