latitude,longitude,fire_count,total_frp,avg_confidence
-18.5,142.5,128,4833.9,82.1
-30,118.5,128,22767.6,85.5
-12,142,127,5460.1,75.0
-17,124.5,125,13753.1,82.2
-14.5,131.5,125,6993.1,84.0
-15.5,128,124,10192.0,81.2
-25,147,124,10048.6,83.2
-21.5,141,123,9479.4,82.2
-14,130.5,121,5436.2,78.3
-17,138.5,121,7439.5,78.6
-33,116,121,22221.7,89.7
-26,119.5,121,18250.7,84.4
-30.5,123,121,9878.9,82.8
-26.5,130.5,118,11639.6,85.3
-17,138,118,6962.2,78.8
-17.5,144,118,4364.7,72.8
-27.5,129,117,16452.6,86.0
-16.5,143,116,6001.7,80.0
-23,150,115,5190.0,77.6
-15,142,114,6228.3,79.5
-18,122.5,113,16454.9,85.0
-16,127,113,9793.2,85.0
-12.5,137,112,4884.8,76.9
-30.5,123.5,112,31990.3,85.7
-15.5,143,111,4296.3,76.8
-14,143,110,4310.6,77.5
-25.5,151,110,6735.8,77.9
-19.5,144,109,8223.3,83.0
-15,125,109,5168.2,79.4
-21,135,109,13395.5,87.8
-26,153,108,13772.6,80.0
-16,129.5,108,4773.1,78.4
-20,139.5,107,5716.5,80.7
-26.5,151,106,4184.2,75.5
-22,134.5,106,25015.3,90.8
-24.5,152,105,6606.9,80.5
-22.5,117,105,12365.1,84.0
-25.5,153,105,7503.5,79.2
-19,143.5,105,3708.9,77.2
-27,128.5,104,17611.2,84.7
-21.5,140,104,10708.8,88.0
-34.5,118.5,102,12945.0,89.3
-24.5,147,102,6562.7,78.7
-27.5,152.5,102,3541.6,80.8
-14,131.5,101,9215.6,83.0
-14,132.5,101,4427.9,75.6
-20.5,139.5,101,6536.7,77.7
-33.5,124,100,31689.7,89.6
-28.5,122.5,99,10480.7,85.3
-16.5,124.5,99,4338.3,76.4
-18.5,124,99,12751.3,87.7
-16.5,126.5,99,6340.5,82.4
-17,144,99,3878.5,74.9
-27.5,148,98,5135.6,79.9
-21,119,98,7548.9,85.0
-25,147.5,98,4436.5,75.4
-31,121,98,18895.9,87.7
-13,132,97,7725.7,85.9
-14.5,142,97,4102.3,77.1
-32,149,97,25837.8,88.1
-22,117,97,8850.2,85.3
-42,148,97,6527.4,81.1
-16,131.5,96,4958.6,78.9
-24.5,146.5,96,6165.8,79.9
